	urls
187	https://www.cars-data.com/en/alfa-romeo-156-sportwagon-1-6-t-spark-16v-impression-specs/358
188	https://www.cars-data.com/en/volvo-v90-3-0-132kw-specs/57931
189	https://www.cars-data.com/en/kia-optima-2-0-cvvt-hybrid-plus-pack-specs/58755
190	https://www.cars-data.com/en/ferrari-612-scaglietti-specs/59250
191	https://www.cars-data.com/en/suzuki-grand-vitara-xl-7-2-7-v6-specs/47030
192	https://www.cars-data.com/en/volvo-s60-b3-inscription-specs/173826
193	https://www.cars-data.com/en/daewoo-nubira-wagon-1-6-se-specs/11173
194	https://www.cars-data.com/en/opel-astra-coupe-1-8i-16v-specs/29929
195	https://www.cars-data.com/en/opel-kadett-1-2-n-specs/31235
196	https://www.cars-data.com/en/volvo-760-gle-specs/54451
197	https://www.cars-data.com/en/iveco-daily-35s11v-3000-h1-2-3-specs/114752
198	https://www.cars-data.com/en/peugeot-306-xn-1-1i-specs/34907
199	https://www.cars-data.com/en/ds-ds5-thp-165-chic-specs/72230
200	https://www.cars-data.com/en/mercedes-benz-cla-180-specs/82470
201	https://www.cars-data.com/en/nissan-primera-1-6-lx-specs/27627
202	https://www.cars-data.com/en/lotus-elise-cr-specs/20757
203	https://www.cars-data.com/en/peugeot-605-sli-specs/36435
204	https://www.cars-data.com/en/mercedes-benz-a-180-120-co2-economy-specs/61964
205	https://www.cars-data.com/en/opel-insignia-1-4-turbo-business-specs/63014
206	https://www.cars-data.com/en/abarth-695-cabrio-1-4-t-jet-165-yamaha-specs/79911
207	https://www.cars-data.com/en/saab-900i-specs/71459
208	https://www.cars-data.com/en/subaru-1300-specs/78993
209	https://www.cars-data.com/en/citroen-zx-break-reflex-1-4i-specs/10960
210	https://www.cars-data.com/en/lincoln-town-car-specs/59797
211	https://www.cars-data.com/en/audi-s5-coupe-4-2-fsi-quattro-specs/3514
212	https://www.cars-data.com/en/dacia-duster-1-6-16v-4x2-specs/10969
213	https://www.cars-data.com/en/hyundai-accent-1-3i-gl-specs/17204
214	https://www.cars-data.com/en/ferrari-f512-m-specs/73643
215	https://www.cars-data.com/en/kia-venga-1-4-cvvt-economyline-specs/67408
216	https://www.cars-data.com/en/alfa-romeo-147-1-6-t-spark-16v-impression-specs/113
217	https://www.cars-data.com/en/mercedes-benz-e-200-kompressor-classic-combi-specs/24493
218	https://www.cars-data.com/en/peugeot-504-cabriolet-specs/78162
219	https://www.cars-data.com/en/citroen-e-jumpy-xs-50kwh-control-specs/102560
220	https://www.cars-data.com/en/renault-grand-scenic-1-6-16v-authentique-basis-specs/40241
221	https://www.cars-data.com/en/hyundai-elantra-1-6i-specs/17310
222	https://www.cars-data.com/en/volvo-340-winner-1-4-specs/54063
223	https://www.cars-data.com/en/mercedes-benz-c-160-estate-specs/76481
224	https://www.cars-data.com/en/audi-rs6-avant-quattro-specs/93120
225	https://www.cars-data.com/en/toyota-starlet-1-3-dx-specs/48857
226	https://www.cars-data.com/en/lancia-delta-1-6-16v-le-specs/19765
227	https://www.cars-data.com/en/bentley-continental-gt-v8-specs/4821
228	https://www.cars-data.com/en/opel-insignia-1-6-edition-specs/30980
229	https://www.cars-data.com/en/mclaren-570gt-specs/84611
230	https://www.cars-data.com/en/citroen-e-spacetourer-m-50kwh-business-specs/102570
231	https://www.cars-data.com/en/alfa-romeo-alfetta-gtv-2000-l-specs/854
232	https://www.cars-data.com/en/fiat-bravo-1-4-s-specs/11760
233	https://www.cars-data.com/en/peugeot-407-sr-1-8-specs/36133
234	https://www.cars-data.com/en/renault-megane-1-4-16v-authentique-specs/38882
235	https://www.cars-data.com/en/toyota-avensis-1-6-16v-vvt-i-linea-terra-e-specs/47498
236	https://www.cars-data.com/en/honda-prelude-1-8-special-specs/17140
237	https://www.cars-data.com/en/mini-classic-specs/25922
238	https://www.cars-data.com/en/saab-9-4x-3-0i-v6-xwd-vector-specs/42370
239	https://www.cars-data.com/en/audi-a4-avant-1-4-tfsi-specs/74822
240	https://www.cars-data.com/en/seat-mii-electric-specs/156053
241	https://www.cars-data.com/en/citroen-c3-puretech-68-attraction-specs/62547
242	https://www.cars-data.com/en/mercedes-benz-a-160-specs/82292
243	https://www.cars-data.com/en/volkswagen-passat-variant-1-6-specs/52220
244	https://www.cars-data.com/en/kia-rio-1-3-rs-specs/19276
245	https://www.cars-data.com/en/mazda-929-coupe-2-0i-specs/76247
246	https://www.cars-data.com/en/bmw-218i-coupe-specs/65429
247	https://www.cars-data.com/en/volvo-s70-2-0-specs/55911
248	https://www.cars-data.com/en/hyundai-santa-fe-van-2-2-crdi-r-2wd-dynamicversion-specs/114225
249	https://www.cars-data.com/en/audi-s7-sportback-tdi-quattro-specs/93279
250	https://www.cars-data.com/en/ford-focus-wagon-1-0-ecoboost-100hp-econetic-trend-specs/14452
251	https://www.cars-data.com/en/mazda-323-1-3-lx-specs/21144
252	https://www.cars-data.com/en/peugeot-307-cc-1-6-16v-specs/35292
253	https://www.cars-data.com/en/opel-ascona-1-3-n-specs/70827
254	https://www.cars-data.com/en/audi-a4-allroad-2-0-tfsi-quattro-specs/74815
255	https://www.cars-data.com/en/cadillac-xt5-3-6-v6-awd-luxury-specs/75385
256	https://www.cars-data.com/en/mercedes-benz-glc-250-4matic-coupe-specs/77385
257	https://www.cars-data.com/en/opel-combo-l1h1-1-2-turbo-selection-specs/135217
258	https://www.cars-data.com/en/kia-sportage-2-0-cvvt-2wd-comfort-specs/19451
259	https://www.cars-data.com/en/mitsubishi-galant-1600-el-specs/26458
260	https://www.cars-data.com/en/mitsubishi-space-runner-1-8-gli-specs/26825
261	https://www.cars-data.com/en/opel-kadett-1-2-n-specs/31261
262	https://www.cars-data.com/en/fiat-500l-twinair-105-popstar-specs/105080
263	https://www.cars-data.com/en/aston-martin-db9-volante-specs/66222
264	https://www.cars-data.com/en/opel-movano-l1h1-2-3-turbo-diesel-135-specs/138292
265	https://www.cars-data.com/en/bmw-318ci-specs/6614
